DistCode,Year,StateCode,StateName,DistName,TotalPop1000,TotalMale1000,TotalFemale1000,TotalLITPop,MaleLITPop,FemaleLITPop,PerCapita1000,TotalPop,MALE_LIT,FEMALE_LIT,OVERALL_LIT,Per capita,TotalCrime,Crime_rate,GDPP
41,2011,6,Madhya Pradesh,Rajgarh,1545.81,790.21,755.6,804.25,488.8,315.45,36,1545810,61.85697473,41.74827951,52.0277395,36000,4609,298.1608348,0.023288761
42,2011,6,Madhya Pradesh,Shajapur,1512.68,780.52,732.16,894.61,543.51,351.1,42,1512680,69.63434633,47.95399913,59.14073036,42000,3123,206.454769,0.027765291
43,2011,6,Madhya Pradesh,Hoshangabad,1811.82,943.57,868.26,1163.19,673.01,490.19,49,1811820,71.32592177,56.45659134,64.2000861,49000,4078,225.0775463,0.027044629
44,2011,1,Andhra Pradesh,Srikakulam,3875.35,1922.48,1952.88,2114.58,1211.57,903.01,67,3875350,63.02120178,46.23991233,54.56487801,67000,4161,107.3709471,0.017288761
45,2011,1,Andhra Pradesh,Visakhapatnam,5462.83,2719.65,2743.18,3187.45,1776.63,1410.82,87,5462830,65.32568529,51.43009208,58.3479625,87000,4886,89.44082097,0.015925811
46,2011,1,Andhra Pradesh,East Godavari,5154.3,2569.69,2584.61,3288.58,1716.93,1571.64,71,5154300,66.81467414,60.80762668,63.80265021,71000,7111,137.9624779,0.013774906
47,2011,1,Andhra Pradesh,West Godavari,3936.97,1964.92,1972.05,2652.39,1379.22,1273.17,76,3936970,70.19217067,64.56073629,67.37135411,76000,8311,211.1014308,0.019304186
48,2011,1,Andhra Pradesh,Krishna,4517.4,2267.38,2250.02,3009.72,1598.96,1410.76,79,4517400,70.52015983,62.69988711,66.62504981,79000,6857,151.7908531,0.017487936
49,2011,1,Andhra Pradesh,Guntur,6450.64,3229.31,3221.32,3836.48,2144.27,1692.23,78,6450640,66.40025269,52.53219177,59.47440874,78000,10999,170.5102129,0.012091823
50,2011,1,Andhra Pradesh,S.P.S. Nellore,4254.59,2144.58,2110,2555.88,1432.84,1123.04,79,4254590,66.8121497,53.22464455,60.07347359,79000,6294,147.9343486,0.018568182
51,2011,1,Andhra Pradesh,Kurnool,4597.05,2313.59,2283.47,2431.87,1423.6,1008.27,57,4597050,61.53207785,44.15516735,52.90066456,57000,7441,161.8646741,0.012399256
52,2011,1,Andhra Pradesh,Ananthapur,4081.15,2064.5,2016.65,2310.96,1338.47,972.49,60,4081150,64.83264713,48.22304317,56.62521593,60000,5430,133.0507332,0.014701738
53,2011,1,Andhra Pradesh,Kadapa YSR,2882.47,1451.78,1430.69,1716.77,994.7,722.07,70,2882470,68.51589084,50.47005291,59.55898934,70000,5340,185.2577824,0.024284728
54,2011,1,Andhra Pradesh,Chittoor,4174.06,2090.2,2083.86,2667.88,1484.79,1183.08,56,4174060,71.03578605,56.77348766,63.91570797,56000,5224,125.1539269,0.013416194
